[2025-06-22 01:49:34]    8 | INFO     | Starting the Pipeline...
[2025-06-22 01:49:34]   11 | INFO     | Starting data ingestion...
[2025-06-22 01:49:34]   68 | INFO     | Running the Data Ingestion Pipeline...
[2025-06-22 01:49:34]   24 | INFO     | Data Ingestion process started.
[2025-06-22 01:49:34]   25 | DEBUG    | Configuration used: DataIngestionConfig(raw_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_01-49-31\\raw_data.csv', train_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_01-49-31\\train.csv', test_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_01-49-31\\test.csv', data_link='https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv')
[2025-06-22 01:49:34]   29 | DEBUG    | Ensured directory exists for raw data path: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_01-49-31\raw_data.csv
[2025-06-22 01:49:34]   32 | INFO     | Downloading data from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv
[2025-06-22 01:49:37]   14 | INFO     | Data downloaded successfully from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv and saved to C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_01-49-31\raw_data.csv
[2025-06-22 01:49:37]   34 | INFO     | Data downloaded successfully.
[2025-06-22 01:49:37]   37 | DEBUG    | Reading the raw CSV data...
[2025-06-22 01:49:37]   39 | INFO     | Raw data read successfully with shape: (45584, 20)
[2025-06-22 01:49:37]   42 | INFO     | Splitting raw data into training and test sets...
[2025-06-22 01:49:37]   44 | INFO     | Data split: Train Shape = (36467, 20), Test Shape = (9117, 20)
[2025-06-22 01:49:37]   49 | DEBUG    | Output directories verified.
